date,store_id,sku_id,units_sold,is_promo,promo_multiplier,is_holiday
2022-01-01,STORE_1,SKU_01,127,0,1.0,1
2022-01-02,STORE_1,SKU_01,81,0,1.0,0
2022-01-03,STORE_1,SKU_01,5,0,1.0,0
2022-01-04,STORE_1,SKU_01,58,1,1.15,0
2022-01-05,STORE_1,SKU_01,147,1,1.2,0
2022-01-06,STORE_1,SKU_01,37,0,1.0,0
2022-01-07,STORE_1,SKU_01,107,1,1.1,0
2022-01-08,STORE_1,SKU_01,2,1,1.2,0
2022-01-09,STORE_1,SKU_01,350,1,1.0,0
2022-01-10,STORE_1,SKU_01,36,1,1.05,0
2022-01-11,STORE_1,SKU_01,16,1,1.05,0
2022-01-12,STORE_1,SKU_01,104,0,1.0,0
2022-01-13,STORE_1,SKU_01,80,1,1.15,0
2022-01-14,STORE_1,SKU_01,177,0,1.0,0
2022-01-15,STORE_1,SKU_01,176,1,1.1,0
2022-01-16,STORE_1,SKU_01,97,0,1.0,0
2022-01-17,STORE_1,SKU_01,69,1,1.0,1
2022-01-18,STORE_1,SKU_01,123,0,1.0,0
2022-01-19,STORE_1,SKU_01,211,0,1.0,0
2022-01-20,STORE_1,SKU_01,79,0,1.0,0
2022-01-21,STORE_1,SKU_01,390,1,1.15,0
2022-01-22,STORE_1,SKU_01,191,1,1.0,0
2022-01-23,STORE_1,SKU_01,79,0,1.0,0
2022-01-24,STORE_1,SKU_01,9,1,1.15,0
2022-01-25,STORE_1,SKU_01,189,1,1.15,0
2022-01-26,STORE_1,SKU_01,49,1,1.05,0
2022-01-27,STORE_1,SKU_01,164,0,1.0,0
2022-01-28,STORE_1,SKU_01,97,1,1.2,0
2022-01-29,STORE_1,SKU_01,47,1,1.15,0
2022-01-30,STORE_1,SKU_01,130,0,1.0,0
2022-01-31,STORE_1,SKU_01,200,1,1.0,0
2022-02-01,STORE_1,SKU_01,279,0,1.0,0
2022-02-02,STORE_1,SKU_01,38,0,1.0,0
2022-02-03,STORE_1,SKU_01,71,1,1.2,0
2022-02-04,STORE_1,SKU_01,25,0,1.0,0
2022-02-05,STORE_1,SKU_01,350,0,1.0,0
2022-02-06,STORE_1,SKU_01,69,1,1.05,0
2022-02-07,STORE_1,SKU_01,62,0,1.0,0
2022-02-08,STORE_1,SKU_01,12,0,1.0,0
2022-02-09,STORE_1,SKU_01,16,0,1.0,0
2022-02-10,STORE_1,SKU_01,237,0,1.0,0
2022-02-11,STORE_1,SKU_01,203,0,1.0,0
2022-02-12,STORE_1,SKU_01,29,1,1.15,0
2022-02-13,STORE_1,SKU_01,149,0,1.0,0
2022-02-14,STORE_1,SKU_01,259,1,1.1,0
2022-02-15,STORE_1,SKU_01,111,0,1.0,0
2022-02-16,STORE_1,SKU_01,373,1,1.1,0
2022-02-17,STORE_1,SKU_01,31,1,1.05,0
2022-02-18,STORE_1,SKU_01,27,0,1.0,0
2022-02-19,STORE_1,SKU_01,27,1,1.0,0
2022-02-20,STORE_1,SKU_01,166,0,1.0,0
2022-02-21,STORE_1,SKU_01,337,0,1.0,1
2022-02-22,STORE_1,SKU_01,191,1,1.15,0
2022-02-23,STORE_1,SKU_01,129,0,1.0,0
2022-02-24,STORE_1,SKU_01,177,1,1.1,0
2022-02-25,STORE_1,SKU_01,214,1,1.2,0
2022-02-26,STORE_1,SKU_01,106,0,1.0,0
2022-02-27,STORE_1,SKU_01,68,1,1.1,0
2022-02-28,STORE_1,SKU_01,344,1,1.1,0
2022-03-01,STORE_1,SKU_01,28,0,1.0,0
2022-03-02,STORE_1,SKU_01,93,1,1.15,0
2022-03-03,STORE_1,SKU_01,36,1,1.0,0
2022-03-04,STORE_1,SKU_01,284,0,1.0,0
2022-03-05,STORE_1,SKU_01,282,0,1.0,0
2022-03-06,STORE_1,SKU_01,192,1,1.1,0
2022-03-07,STORE_1,SKU_01,348,0,1.0,0
2022-03-08,STORE_1,SKU_01,32,1,1.2,0
2022-03-09,STORE_1,SKU_01,26,0,1.0,0
2022-03-10,STORE_1,SKU_01,147,1,1.1,0
2022-03-11,STORE_1,SKU_01,141,1,1.1,0
2022-03-12,STORE_1,SKU_01,194,1,1.05,0
2022-03-13,STORE_1,SKU_01,95,0,1.0,0
2022-03-14,STORE_1,SKU_01,74,0,1.0,0
2022-03-15,STORE_1,SKU_01,78,0,1.0,0
2022-03-16,STORE_1,SKU_01,230,0,1.0,0
2022-03-17,STORE_1,SKU_01,89,1,1.15,0
2022-03-18,STORE_1,SKU_01,150,0,1.0,0
2022-03-19,STORE_1,SKU_01,285,0,1.0,0
2022-03-20,STORE_1,SKU_01,40,1,1.15,0
2022-03-21,STORE_1,SKU_01,58,1,1.15,0
2022-03-22,STORE_1,SKU_01,114,1,1.05,0
2022-03-23,STORE_1,SKU_01,21,1,1.0,0
2022-03-24,STORE_1,SKU_01,35,0,1.0,0
2022-03-25,STORE_1,SKU_01,31,0,1.0,0
2022-03-26,STORE_1,SKU_01,4,1,1.2,0
2022-03-27,STORE_1,SKU_01,289,0,1.0,0
2022-03-28,STORE_1,SKU_01,49,0,1.0,0
2022-03-29,STORE_1,SKU_01,3,0,1.0,0
2022-03-30,STORE_1,SKU_01,136,0,1.0,0
2022-03-31,STORE_1,SKU_01,85,0,1.0,0
2022-04-01,STORE_1,SKU_01,101,1,1.0,0
2022-04-02,STORE_1,SKU_01,70,1,1.15,0
2022-04-03,STORE_1,SKU_01,32,0,1.0,0
2022-04-04,STORE_1,SKU_01,54,1,1.1,0
2022-04-05,STORE_1,SKU_01,165,0,1.0,0
2022-04-06,STORE_1,SKU_01,158,0,1.0,0
2022-04-07,STORE_1,SKU_01,26,1,1.0,0
2022-04-08,STORE_1,SKU_01,130,0,1.0,0
2022-04-09,STORE_1,SKU_01,121,1,1.15,0
2022-04-10,STORE_1,SKU_01,282,0,1.0,0
2022-04-11,STORE_1,SKU_01,358,1,1.0,0
2022-04-12,STORE_1,SKU_01,238,0,1.0,0
2022-04-13,STORE_1,SKU_01,279,1,1.1,0
2022-04-14,STORE_1,SKU_01,108,0,1.0,0
2022-04-15,STORE_1,SKU_01,32,1,1.1,0
2022-04-16,STORE_1,SKU_01,183,0,1.0,0
2022-04-17,STORE_1,SKU_01,365,0,1.0,0
2022-04-18,STORE_1,SKU_01,47,0,1.0,0
2022-04-19,STORE_1,SKU_01,41,1,1.15,0
2022-04-20,STORE_1,SKU_01,51,1,1.2,0
2022-04-21,STORE_1,SKU_01,107,1,1.0,0
2022-04-22,STORE_1,SKU_01,405,0,1.0,0
2022-04-23,STORE_1,SKU_01,212,1,1.15,0
2022-04-24,STORE_1,SKU_01,14,1,1.15,0
2022-04-25,STORE_1,SKU_01,45,1,1.05,0
2022-04-26,STORE_1,SKU_01,452,0,1.0,0
2022-04-27,STORE_1,SKU_01,288,0,1.0,0
2022-04-28,STORE_1,SKU_01,334,1,1.1,0
2022-04-29,STORE_1,SKU_01,27,1,1.0,0
2022-04-30,STORE_1,SKU_01,149,0,1.0,0
2022-05-01,STORE_1,SKU_01,0,0,1.0,0
2022-05-02,STORE_1,SKU_01,1,1,1.0,0
2022-05-03,STORE_1,SKU_01,18,1,1.2,0
2022-05-04,STORE_1,SKU_01,127,0,1.0,0
2022-05-05,STORE_1,SKU_01,49,0,1.0,0
2022-05-06,STORE_1,SKU_01,26,1,1.1,0
2022-05-07,STORE_1,SKU_01,39,1,1.2,0
2022-05-08,STORE_1,SKU_01,6,0,1.0,0
2022-05-09,STORE_1,SKU_01,173,0,1.0,0
2022-05-10,STORE_1,SKU_01,19,0,1.0,0
2022-05-11,STORE_1,SKU_01,19,1,1.1,0
2022-05-12,STORE_1,SKU_01,10,0,1.0,0
2022-05-13,STORE_1,SKU_01,357,0,1.0,0
2022-05-14,STORE_1,SKU_01,226,0,1.0,0
2022-05-15,STORE_1,SKU_01,213,1,1.05,0
2022-05-16,STORE_1,SKU_01,121,1,1.15,0
2022-05-17,STORE_1,SKU_01,191,0,1.0,0
2022-05-18,STORE_1,SKU_01,148,1,1.2,0
2022-05-19,STORE_1,SKU_01,17,0,1.0,0
2022-05-20,STORE_1,SKU_01,75,0,1.0,0
2022-05-21,STORE_1,SKU_01,314,1,1.0,0
2022-05-22,STORE_1,SKU_01,46,0,1.0,0
2022-05-23,STORE_1,SKU_01,66,0,1.0,0
2022-05-24,STORE_1,SKU_01,173,1,1.1,0
2022-05-25,STORE_1,SKU_01,68,0,1.0,0
2022-05-26,STORE_1,SKU_01,200,1,1.05,0
2022-05-27,STORE_1,SKU_01,32,1,1.05,0
2022-05-28,STORE_1,SKU_01,393,0,1.0,0
2022-05-29,STORE_1,SKU_01,11,0,1.0,0
2022-05-30,STORE_1,SKU_01,307,1,1.0,1
2022-05-31,STORE_1,SKU_01,109,1,1.1,0
2022-06-01,STORE_1,SKU_01,198,1,1.15,0
2022-06-02,STORE_1,SKU_01,385,1,1.1,0
2022-06-03,STORE_1,SKU_01,25,0,1.0,0
2022-06-04,STORE_1,SKU_01,48,0,1.0,0
2022-06-05,STORE_1,SKU_01,164,0,1.0,0
2022-06-06,STORE_1,SKU_01,113,0,1.0,0
2022-06-07,STORE_1,SKU_01,237,0,1.0,0
2022-06-08,STORE_1,SKU_01,90,0,1.0,0
